Date,Open,High,Low,Close,Adj Close,Volume
1996-03-21,178.000000,178.000000,178.000000,178.000000,145.758774,3885140
1996-03-22,181.000000,181.000000,181.000000,181.000000,148.215378,602353
1996-03-25,183.000000,183.000000,183.000000,183.000000,149.853119,27093
1996-03-26,183.000000,183.000000,183.000000,183.000000,149.853119,735415
1996-03-27,183.000000,183.000000,183.000000,183.000000,149.853119,4270
1996-03-28,183.000000,183.000000,183.000000,183.000000,149.853119,10854
1996-03-29,183.000000,183.000000,183.000000,183.000000,149.853119,12526
1996-04-01,183.000000,183.000000,183.000000,183.000000,149.853119,21071
1996-04-02,183.000000,183.000000,183.000000,183.000000,149.853119,15574
1996-04-03,183.000000,183.000000,183.000000,183.000000,149.853119,129433
1996-04-04,184.000000,184.000000,184.000000,184.000000,150.672012,46231
1996-04-05,184.000000,184.000000,184.000000,184.000000,150.672012,0
1996-04-08,184.000000,184.000000,184.000000,184.000000,150.672012,0
1996-04-09,184.000000,184.000000,184.000000,184.000000,150.672012,1955
1996-04-10,184.000000,184.000000,184.000000,184.000000,150.672012,13383
1996-04-11,184.000000,184.000000,184.000000,184.000000,150.672012,2404
1996-04-12,184.000000,184.000000,184.000000,184.000000,150.672012,7432
1996-04-15,184.000000,184.000000,184.000000,184.000000,150.672012,11106
1996-04-16,189.000000,189.000000,189.000000,189.000000,154.766327,963255
1996-04-17,190.000000,190.000000,190.000000,190.000000,155.585236,3515
1996-04-18,191.000000,191.000000,191.000000,191.000000,156.404083,17460
1996-04-19,191.000000,191.000000,191.000000,191.000000,156.404083,23508
1996-04-22,193.000000,193.000000,193.000000,193.000000,158.041809,27331
1996-04-23,193.000000,193.000000,193.000000,193.000000,158.041809,3938
1996-04-24,195.000000,195.000000,195.000000,195.000000,159.679565,25500
1996-04-25,207.000000,207.000000,207.000000,207.000000,169.505981,50140
1996-04-26,236.000000,236.000000,236.000000,236.000000,193.253204,187921
1996-04-29,237.000000,237.000000,237.000000,237.000000,194.072052,43208
1996-04-30,230.000000,230.000000,230.000000,230.000000,188.339966,28352
1996-05-01,222.000000,222.000000,222.000000,222.000000,181.789032,20608
1996-05-02,225.000000,225.000000,225.000000,225.000000,184.245651,8617
1996-05-03,220.000000,220.000000,220.000000,220.000000,180.151291,34190
1996-05-06,220.000000,220.000000,220.000000,220.000000,180.151291,0
1996-05-07,220.000000,220.000000,220.000000,220.000000,180.151291,3611
1996-05-08,220.000000,220.000000,220.000000,220.000000,180.151291,7462
1996-05-09,220.000000,220.000000,220.000000,220.000000,180.151291,1458
1996-05-10,222.000000,222.000000,222.000000,222.000000,181.789032,2385
1996-05-13,225.000000,225.000000,225.000000,225.000000,184.245651,15893
1996-05-14,226.000000,226.000000,226.000000,226.000000,185.064499,4730
1996-05-15,240.000000,240.000000,240.000000,240.000000,196.528687,63930
1996-05-16,235.000000,235.000000,235.000000,235.000000,192.434326,10767
1996-05-17,233.000000,233.000000,233.000000,233.000000,190.796570,1194
1996-05-20,233.000000,233.000000,233.000000,233.000000,190.796570,3048
1996-05-21,233.000000,233.000000,233.000000,233.000000,190.796570,6051
1996-05-22,235.000000,235.000000,235.000000,235.000000,192.434326,38500
1996-05-23,238.000000,238.000000,238.000000,238.000000,194.890945,27225
1996-05-24,238.000000,238.000000,238.000000,238.000000,194.890945,3
1996-05-27,238.000000,238.000000,238.000000,238.000000,194.890945,0
1996-05-28,238.000000,238.000000,238.000000,238.000000,194.890945,4325
1996-05-29,238.000000,238.000000,238.000000,238.000000,194.890945,425
1996-05-30,230.000000,230.000000,230.000000,230.000000,188.339966,62473
1996-05-31,234.000000,234.000000,234.000000,234.000000,191.615463,43989
1996-06-03,226.000000,226.000000,226.000000,226.000000,185.064499,48927
1996-06-04,226.000000,226.000000,226.000000,226.000000,185.064499,20038
1996-06-05,225.000000,225.000000,225.000000,225.000000,184.245651,883341
1996-06-06,225.000000,225.000000,225.000000,225.000000,184.245651,12396
1996-06-07,224.000000,224.000000,224.000000,224.000000,183.426758,252207
1996-06-10,224.000000,224.000000,224.000000,224.000000,183.426758,7930
1996-06-11,224.000000,224.000000,224.000000,224.000000,183.426758,24450
1996-06-12,225.000000,225.000000,225.000000,225.000000,184.245651,153678
1996-06-13,226.000000,226.000000,226.000000,226.000000,185.064499,21440
1996-06-14,228.000000,228.000000,228.000000,228.000000,186.702225,41000
1996-06-17,235.000000,235.000000,235.000000,235.000000,192.434326,32000
1996-06-18,235.000000,235.000000,235.000000,235.000000,192.434326,0
1996-06-19,230.000000,230.000000,230.000000,230.000000,188.339966,14571
1996-06-20,230.000000,230.000000,230.000000,230.000000,188.339966,25750
1996-06-21,233.000000,233.000000,233.000000,233.000000,190.796570,1000
1996-06-24,233.000000,233.000000,233.000000,233.000000,190.796570,114958
1996-06-25,230.000000,230.000000,230.000000,230.000000,188.339966,25000
1996-06-26,228.000000,228.000000,228.000000,228.000000,186.702225,5401
1996-06-27,213.000000,213.000000,213.000000,213.000000,174.419189,26495
1996-06-28,215.000000,215.000000,215.000000,215.000000,176.056946,33405
1996-07-01,215.000000,215.000000,215.000000,215.000000,176.056946,1537
1996-07-02,215.000000,215.000000,215.000000,215.000000,176.056946,97882
1996-07-03,215.000000,215.000000,215.000000,215.000000,176.056946,8455
1996-07-04,215.000000,215.000000,215.000000,215.000000,176.056946,35000
1996-07-05,215.000000,215.000000,215.000000,215.000000,176.056946,400
1996-07-08,213.000000,213.000000,213.000000,213.000000,174.419189,16620
1996-07-09,206.000000,206.000000,206.000000,206.000000,168.687119,12710
1996-07-10,210.000000,210.000000,210.000000,210.000000,171.962585,1154300
1996-07-11,210.000000,210.000000,210.000000,210.000000,171.962585,2771
1996-07-12,205.000000,205.000000,205.000000,205.000000,167.868271,65700
1996-07-15,193.000000,193.000000,193.000000,193.000000,158.041809,29392
1996-07-16,185.000000,185.000000,185.000000,185.000000,151.490845,10723
1996-07-17,186.000000,186.000000,186.000000,186.000000,152.309708,243485
1996-07-18,195.000000,195.000000,195.000000,195.000000,159.679565,22000
1996-07-19,195.000000,195.000000,195.000000,195.000000,159.679565,1000
1996-07-22,195.000000,195.000000,195.000000,195.000000,159.679565,1350
1996-07-23,195.000000,195.000000,195.000000,195.000000,159.679565,1210
1996-07-24,187.000000,187.000000,187.000000,187.000000,153.128601,4000
1996-07-25,188.000000,188.000000,188.000000,188.000000,153.947464,134
1996-07-26,192.000000,192.000000,192.000000,192.000000,157.222931,21320
1996-07-29,193.000000,193.000000,193.000000,193.000000,158.041809,3294
1996-07-30,199.000000,199.000000,199.000000,199.000000,162.955048,12920
1996-07-31,201.000000,201.000000,201.000000,201.000000,164.592773,3205
1996-08-01,203.000000,203.000000,203.000000,203.000000,166.230499,1987
1996-08-02,203.000000,203.000000,203.000000,203.000000,166.230499,5000
1996-08-05,203.000000,203.000000,203.000000,203.000000,166.230499,516
1996-08-06,203.000000,203.000000,203.000000,203.000000,166.230499,0
1996-08-07,203.000000,203.000000,203.000000,203.000000,166.230499,1267
1996-08-08,204.000000,204.000000,204.000000,204.000000,167.049377,48134
1996-08-09,204.000000,204.000000,204.000000,204.000000,167.049377,0
1996-08-12,205.000000,205.000000,205.000000,205.000000,167.868271,769
1996-08-13,205.000000,205.000000,205.000000,205.000000,167.868271,99450
1996-08-14,205.000000,205.000000,205.000000,205.000000,167.868271,0
1996-08-15,205.000000,205.000000,205.000000,205.000000,167.868271,0
1996-08-16,205.000000,205.000000,205.000000,205.000000,167.868271,2057
1996-08-19,205.000000,205.000000,205.000000,205.000000,167.868271,566
1996-08-20,205.000000,205.000000,205.000000,205.000000,167.868271,1210
1996-08-21,205.000000,205.000000,205.000000,205.000000,167.868271,1000
1996-08-22,205.000000,205.000000,205.000000,205.000000,167.868271,4095
1996-08-23,205.000000,205.000000,205.000000,205.000000,167.868271,500
1996-08-26,205.000000,205.000000,205.000000,205.000000,167.868271,0
1996-08-27,204.500000,204.500000,204.500000,204.500000,167.458817,4450
1996-08-28,204.500000,204.500000,204.500000,204.500000,167.458817,710
1996-08-29,204.500000,204.500000,204.500000,204.500000,167.458817,3717
1996-08-30,204.500000,204.500000,204.500000,204.500000,167.458817,101574
1996-09-02,204.500000,204.500000,204.500000,204.500000,167.458817,105168
1996-09-03,204.500000,204.500000,204.500000,204.500000,167.458817,533
1996-09-04,204.500000,204.500000,204.500000,204.500000,167.458817,0
1996-09-05,204.500000,204.500000,204.500000,204.500000,167.458817,2700
1996-09-06,204.500000,204.500000,204.500000,204.500000,167.458817,0
1996-09-09,204.500000,204.500000,204.500000,204.500000,167.458817,0
1996-09-10,204.500000,204.500000,204.500000,204.500000,167.458817,3200
1996-09-11,204.500000,204.500000,204.500000,204.500000,167.458817,0
1996-09-12,204.500000,204.500000,204.500000,204.500000,167.458817,2140
1996-09-13,204.500000,204.500000,204.500000,204.500000,167.458817,2800
1996-09-16,204.500000,204.500000,204.500000,204.500000,167.458817,1677
1996-09-17,204.500000,204.500000,204.500000,204.500000,167.458817,3100
1996-09-18,204.500000,204.500000,204.500000,204.500000,167.458817,0
1996-09-19,204.500000,204.500000,204.500000,204.500000,167.458817,0
1996-09-20,204.500000,204.500000,204.500000,204.500000,167.458817,0
1996-09-23,204.500000,204.500000,204.500000,204.500000,167.458817,790
1996-09-24,200.500000,200.500000,200.500000,200.500000,164.183319,11150
1996-09-25,193.500000,193.500000,193.500000,193.500000,158.451233,32100
1996-09-26,175.000000,175.000000,175.000000,175.000000,143.302155,92806
